Transaction_Amount,Transaction_Type,Location,Time_of_Day,Card_Type,Previous_Fraud_History,Account_Age,Credit_Utilization,Fraudulent
3566,In-Person,International,Afternoon,Credit,0,5,0.6236626217808119,0
3900,In-Person,International,Morning,Debit,0,4,0.3899015439630439,0
656,In-Person,Domestic,Morning,Debit,1,5,0.6518165306829969,0
2898,Online,Domestic,Night,Credit,1,1,0.6614384411448817,0
2445,Online,International,Afternoon,Debit,0,6,0.858006312640252,0
610,In-Person,International,Afternoon,Debit,1,4,0.8492638443936741,0
2373,In-Person,International,Night,Credit,0,4,0.22826974496492794,0
2071,Online,International,Morning,Debit,0,5,0.25200270119854606,0
251,Online,International,Morning,Debit,1,1,0.3001347890132683,0
2051,In-Person,Domestic,Morning,Credit,1,4,0.33510720792579446,0
2834,Online,International,Morning,Credit,1,3,0.6080440665193501,0
2622,Online,Domestic,Night,Debit,0,5,0.39474130677060837,0
1373,Online,International,Afternoon,Debit,1,5,0.9576664179845519,0
1488,Online,Domestic,Morning,Credit,1,8,0.20647127913059193,0
2566,Online,International,Afternoon,Credit,1,1,0.3218364788520699,0
785,Online,Domestic,Afternoon,Debit,0,3,0.8814857879069802,0
4024,In-Person,Domestic,Morning,Credit,0,5,0.6258980215526527,0
44,Online,International,Morning,Credit,0,3,0.592685601629864,0
3162,In-Person,International,Morning,Credit,0,6,0.6349107265604056,0
1965,In-Person,Domestic,Afternoon,Debit,0,3,0.3270381036009423,0
1595,Online,Domestic,Night,Debit,1,6,0.785302500845988,0
3953,In-Person,Domestic,Morning,Debit,1,8,0.5468789022836965,1
3083,In-Person,International,Afternoon,Debit,0,4,0.13833634713057563,0
1031,In-Person,International,Afternoon,Debit,1,8,0.2594424360598794,0
3471,Online,International,Morning,Credit,0,7,0.8349617398433897,0
2623,In-Person,International,Night,Credit,0,4,0.410540289074648,0
3853,Online,Domestic,Morning,Credit,0,3,0.7960997143147396,0
1510,In-Person,International,Morning,Debit,0,5,0.6970390618478035,0
4808,In-Person,International,Night,Debit,0,5,0.37131380265378955,0
171,In-Person,International,Morning,Credit,0,7,0.21433198960051544,0
4307,In-Person,International,Morning,Credit,1,1,0.8262507579033551,0
1991,Online,International,Night,Credit,1,9,0.6787786247467062,0
1005,In-Person,Domestic,Afternoon,Credit,1,2,0.3707177576973163,0
4921,In-Person,International,Afternoon,Debit,1,9,0.570947471401805,0
3352,Online,Domestic,Afternoon,Debit,1,9,0.6507127643662182,0
4561,Online,International,Afternoon,Credit,1,3,0.1019066695114255,0
3808,Online,International,Afternoon,Debit,0,7,0.703461947305544,0
1285,In-Person,International,Morning,Debit,0,3,0.6904702603740523,0
1026,Online,International,Night,Debit,0,8,0.17432057944337098,0
347,Online,Domestic,Afternoon,Debit,0,8,0.80897800034558,0
888,Online,Domestic,Night,Credit,1,3,0.842579964994258,0
1086,Online,International,Afternoon,Credit,0,5,0.3611462236576203,0
4897,Online,Domestic,Morning,Debit,1,7,0.24599139144429039,0
4003,Online,Domestic,Afternoon,Credit,1,1,0.7178333491776369,0
4869,In-Person,International,Afternoon,Debit,1,3,0.21101514260457122,0
389,Online,Domestic,Night,Credit,1,1,0.8722381752626754,0
502,In-Person,Domestic,Night,Credit,1,2,0.5321165365400272,0
2072,Online,International,Morning,Credit,1,7,0.9188280837882687,0
3894,Online,International,Night,Credit,0,7,0.6779524348064958,0
74,Online,Domestic,Night,Credit,0,3,0.35658303936066227,0
2578,In-Person,International,Night,Credit,0,6,0.5212339441005518,0
2037,Online,International,Morning,Credit,0,6,0.5764124328782134,0
2705,Online,International,Morning,Debit,0,2,0.8336427984129605,0
1505,Online,Domestic,Morning,Credit,0,9,0.8756696477530518,0
401,Online,International,Night,Debit,0,8,0.7147105985927313,0
4524,In-Person,International,Night,Credit,1,2,0.36477829465542166,0
4484,In-Person,Domestic,Morning,Credit,1,4,0.5757116571665069,0
3571,In-Person,Domestic,Night,Credit,0,9,0.2175596671422637,0
2288,In-Person,Domestic,Night,Debit,0,4,0.3070985279091192,0
3109,In-Person,Domestic,Afternoon,Debit,1,7,0.37275277079497593,0
210,Online,Domestic,Morning,Debit,0,5,0.1654839384243046,0
4885,Online,International,Morning,Debit,1,6,0.8964897451036866,0
3114,Online,Domestic,Night,Debit,0,1,0.21037975950268306,0
4608,In-Person,International,Night,Credit,1,4,0.7271548534769074,0
2464,Online,Domestic,Afternoon,Debit,1,5,0.5550956819360626,0
3655,In-Person,International,Morning,Debit,0,6,0.8485910457182259,0
814,Online,International,Morning,Debit,0,6,0.7669321733950135,0
2741,In-Person,Domestic,Night,Credit,1,5,0.7837642048057172,0
2783,Online,Domestic,Morning,Credit,0,3,0.4765116498920644,0
1580,Online,Domestic,Night,Credit,0,2,0.8505785223064783,0
2700,Online,Domestic,Afternoon,Debit,1,7,0.1852676880281252,0
3850,Online,Domestic,Night,Credit,1,1,0.4999771142745777,0
1038,In-Person,Domestic,Afternoon,Debit,0,5,0.9951526547200041,0
512,Online,International,Night,Credit,0,4,0.9533030905382821,0
4503,Online,International,Afternoon,Credit,1,7,0.17399132648390875,0
880,Online,International,Afternoon,Credit,1,2,0.6156870302501538,0
4498,In-Person,International,Morning,Credit,1,8,0.38408555057866867,0
216,Online,International,Night,Credit,0,9,0.7556252815088874,0
1494,Online,Domestic,Morning,Debit,1,1,0.7622086902837095,0
873,Online,Domestic,Morning,Debit,0,5,0.1000839412191186,0
2800,Online,International,Night,Credit,1,4,0.8612372626942206,0
573,Online,International,Morning,Debit,0,5,0.3012244369629514,0
4201,In-Person,Domestic,Morning,Credit,0,9,0.9693159527973381,0
1767,In-Person,Domestic,Morning,Credit,1,3,0.9148881771064945,0
1688,In-Person,Domestic,Night,Credit,0,1,0.2715931441421146,0
3252,Online,Domestic,Morning,Credit,1,3,0.672701881566905,0
4646,In-Person,International,Morning,Credit,0,4,0.3667161754090773,0
1069,Online,International,Morning,Credit,0,2,0.19268572182193672,0
1732,Online,Domestic,Night,Credit,0,1,0.8866020952938498,0
3324,Online,Domestic,Afternoon,Debit,1,1,0.2627438249921397,0
3167,Online,International,Afternoon,Debit,1,8,0.4788708043716804,0
2635,In-Person,International,Afternoon,Credit,0,4,0.9317702134171136,0
2739,In-Person,International,Afternoon,Debit,1,2,0.16781890725752885,0
1607,In-Person,Domestic,Morning,Credit,0,3,0.5955260461545866,0
3070,Online,International,Night,Debit,1,8,0.6149299350885881,0
2703,In-Person,Domestic,Morning,Debit,1,6,0.7867600396097298,0
4901,In-Person,Domestic,Night,Credit,0,8,0.8444177827829711,0
3637,Online,Domestic,Morning,Credit,0,5,0.48172941528448565,0
1373,In-Person,International,Afternoon,Debit,0,3,0.7693147366281462,0
1991,Online,International,Afternoon,Credit,1,6,0.9193953854329832,0
1673,In-Person,Domestic,Night,Debit,0,8,0.8976395791502738,0
1539,In-Person,International,Morning,Credit,0,5,0.5516371617543084,0
2048,In-Person,Domestic,Afternoon,Debit,1,5,0.6463265945619417,0
3312,Online,International,Night,Debit,1,3,0.7055279757231953,0
2247,In-Person,Domestic,Morning,Debit,0,3,0.8371979199247678,0
1316,In-Person,Domestic,Night,Credit,0,8,0.5569597808544405,0
4039,In-Person,International,Morning,Debit,1,1,0.20071001736646307,0
2685,In-Person,International,Morning,Credit,1,4,0.44677156340524304,0
1292,Online,Domestic,Morning,Credit,1,9,0.7481818714791186,0
719,Online,International,Night,Credit,1,6,0.6614190506654996,0
4754,In-Person,Domestic,Night,Credit,0,6,0.7781426213358177,0
4423,In-Person,Domestic,Morning,Credit,0,7,0.5499583644900989,0
3758,In-Person,Domestic,Afternoon,Debit,1,7,0.25696429529068066,0
4789,Online,Domestic,Morning,Credit,0,6,0.20368678474646412,0
673,In-Person,Domestic,Night,Credit,0,9,0.5331357451121563,0
2008,In-Person,Domestic,Morning,Debit,0,8,0.2851523525938456,0
3455,Online,Domestic,Night,Debit,1,8,0.9840401992483834,0
3753,Online,Domestic,Morning,Credit,0,2,0.27887767474540576,0
1505,Online,International,Morning,Credit,1,7,0.6101058652206937,0
3314,In-Person,International,Afternoon,Credit,0,1,0.10159114077171043,0
3773,Online,Domestic,Afternoon,Debit,1,8,0.3282805739790655,0
1863,Online,Domestic,Night,Credit,1,3,0.3332246384972014,0
4669,In-Person,Domestic,Morning,Credit,1,9,0.7641886920544041,0
1301,Online,International,Night,Debit,0,5,0.5460635246900136,0
3591,In-Person,Domestic,Morning,Debit,0,7,0.11088266590970353,0
3467,In-Person,Domestic,Morning,Debit,0,7,0.44125384497029285,0
1646,Online,Domestic,Morning,Credit,0,9,0.6803029873648868,0
3706,In-Person,International,Afternoon,Credit,0,2,0.6730362593836677,0
3009,Online,International,Night,Credit,1,4,0.14849984279129994,0
3162,Online,International,Morning,Debit,0,8,0.9360216391361678,0
708,Online,Domestic,Morning,Debit,0,5,0.322291961872628,1
2170,In-Person,Domestic,Night,Credit,0,5,0.902373502694349,0
4107,Online,International,Night,Debit,0,3,0.2920730013349057,0
4747,In-Person,Domestic,Morning,Debit,1,5,0.6110652558403187,0
864,In-Person,International,Afternoon,Debit,1,7,0.46547227742134556,0
3484,In-Person,International,Afternoon,Debit,1,4,0.6232143548317695,0
1717,Online,Domestic,Morning,Credit,1,8,0.5480765327498979,0
2787,In-Person,Domestic,Afternoon,Credit,0,6,0.10184257976831385,0
1743,In-Person,Domestic,Night,Debit,1,6,0.41619913731873237,0
4941,Online,Domestic,Afternoon,Debit,0,6,0.1100954406967295,0
3520,Online,International,Night,Debit,1,4,0.7150298811922975,0
212,In-Person,International,Night,Debit,1,3,0.8681462246696776,0
3265,In-Person,International,Night,Debit,0,6,0.4462430155388746,0
4228,Online,International,Night,Credit,0,6,0.5723218338112978,0
4506,In-Person,International,Afternoon,Debit,1,2,0.15925361246133304,0
776,In-Person,International,Night,Credit,0,9,0.446677667932179,0
4399,In-Person,Domestic,Morning,Credit,0,4,0.22497436578816227,0
2337,In-Person,International,Night,Debit,0,4,0.15823165505350154,0
2941,Online,Domestic,Morning,Credit,1,8,0.2548298327507911,0
207,In-Person,Domestic,Night,Debit,1,3,0.8837595492085685,0
1940,Online,International,Night,Debit,1,7,0.9839839629960542,0
3592,In-Person,International,Afternoon,Debit,1,7,0.8912927194926411,0
618,Online,Domestic,Night,Credit,0,2,0.972703424517153,0
3282,In-Person,Domestic,Night,Credit,0,3,0.7577261213369162,0
1157,Online,International,Afternoon,Credit,0,4,0.243734949836782,0
4292,In-Person,International,Afternoon,Debit,0,2,0.6068534077701404,0
3407,Online,Domestic,Morning,Credit,1,9,0.7584364626703514,0
2521,In-Person,International,Afternoon,Credit,0,6,0.562116514733918,0
1804,In-Person,International,Morning,Credit,1,1,0.5992005106920099,0
669,Online,International,Night,Debit,1,1,0.6275710855130611,0
2821,Online,International,Morning,Credit,1,8,0.5201617954415053,0
1379,Online,International,Afternoon,Debit,0,6,0.36152961978914877,0
1996,Online,Domestic,Night,Credit,0,7,0.6733226249241653,0
156,Online,International,Morning,Credit,1,6,0.1481575563047559,0
3229,In-Person,International,Morning,Credit,1,2,0.25383452202840884,0
2921,Online,Domestic,Morning,Debit,0,3,0.9327353841882688,0
1744,Online,Domestic,Night,Debit,1,8,0.5399346272399294,0
1853,In-Person,International,Morning,Credit,0,4,0.8395154302257286,0
498,Online,International,Morning,Credit,1,8,0.7538866225181796,0
2986,Online,Domestic,Afternoon,Debit,1,3,0.3886381485857684,0
1969,Online,International,Morning,Debit,0,2,0.8232841567544116,0
2395,In-Person,International,Night,Credit,0,7,0.18219019604797765,0
2929,Online,International,Afternoon,Credit,1,1,0.8874804289118852,0
4746,In-Person,Domestic,Night,Debit,1,3,0.7125040011973806,0
1812,In-Person,International,Afternoon,Credit,0,2,0.9343650852266189,0
4071,Online,International,Afternoon,Debit,1,5,0.9059593602240147,0
3379,In-Person,Domestic,Morning,Credit,1,2,0.4422358320118591,0
272,Online,International,Night,Credit,1,5,0.8711492696824314,0
633,Online,International,Morning,Credit,1,3,0.6067144648174014,0
1026,Online,International,Afternoon,Credit,1,9,0.24140288472999347,0
3653,Online,International,Morning,Debit,1,9,0.8465957770521553,0
4986,Online,Domestic,Afternoon,Credit,0,8,0.9171277827762421,0
2059,In-Person,Domestic,Afternoon,Credit,1,5,0.17609248689318946,0
3733,In-Person,International,Night,Credit,0,7,0.9374975596993376,0
4558,In-Person,International,Night,Credit,1,2,0.6411384186569107,0
3118,In-Person,International,Night,Credit,1,3,0.12330767386199172,0
4100,Online,International,Night,Credit,0,2,0.5876151681433457,0
2066,Online,Domestic,Morning,Debit,0,1,0.8170741308550387,0
3180,In-Person,Domestic,Night,Credit,0,3,0.5798633024216981,0
1692,Online,Domestic,Night,Debit,0,4,0.7365216285620749,0
2265,In-Person,International,Night,Debit,0,9,0.8916244586895216,0
1164,In-Person,International,Afternoon,Debit,1,2,0.8827853591398365,0
4509,In-Person,International,Afternoon,Debit,0,9,0.2609829261419857,0
3201,In-Person,Domestic,Night,Credit,0,1,0.48441702258602193,0
1706,Online,Domestic,Afternoon,Credit,0,9,0.2000485592920883,0
4001,Online,Domestic,Afternoon,Credit,1,6,0.6355880353747402,0
4733,In-Person,Domestic,Morning,Debit,1,8,0.9592540760310961,0
4692,In-Person,Domestic,Afternoon,Credit,1,3,0.2636622756728113,0
1658,In-Person,International,Morning,Debit,0,8,0.46326732740683063,0
1455,In-Person,International,Afternoon,Debit,1,9,0.95862411999162,0
4209,In-Person,International,Night,Credit,1,7,0.7751064037732018,0
3933,Online,Domestic,Afternoon,Debit,1,4,0.16405253116350382,0
263,In-Person,International,Afternoon,Debit,1,6,0.4855740099158282,0
3193,In-Person,International,Morning,Debit,0,6,0.9890971493658897,0
2567,Online,Domestic,Night,Debit,0,2,0.507918338633595,0
108,Online,Domestic,Morning,Credit,0,2,0.66646126894326,0
2210,Online,Domestic,Night,Debit,0,5,0.7308790309562708,0
2971,Online,International,Night,Debit,0,1,0.6975382508638005,0
4983,Online,Domestic,Morning,Debit,0,5,0.5668466131368207,0
4443,Online,International,Afternoon,Credit,0,3,0.2195161187418953,0
3787,Online,International,Night,Credit,0,3,0.7375733740724624,0
2879,Online,Domestic,Afternoon,Debit,1,8,0.9399950854402379,0
3244,Online,International,Morning,Credit,1,3,0.9475269825449101,0
3801,In-Person,Domestic,Morning,Credit,0,3,0.6340504655535097,0
966,Online,Domestic,Morning,Credit,0,1,0.5429777402299993,0
4077,In-Person,International,Morning,Credit,1,8,0.4005649902925309,0
170,In-Person,International,Night,Debit,1,6,0.19321208982978727,0
4503,In-Person,International,Morning,Debit,1,8,0.8948060418547823,0
1310,In-Person,Domestic,Afternoon,Credit,0,3,0.22334807852507177,0
4921,In-Person,International,Afternoon,Credit,1,6,0.3591511565062969,0
3997,In-Person,Domestic,Night,Credit,0,2,0.7663586236772271,0
1537,In-Person,Domestic,Morning,Credit,1,3,0.7342873152962969,0
1228,In-Person,International,Night,Credit,1,4,0.712911478628824,0
4506,Online,International,Night,Credit,0,9,0.7675362959094194,0
4745,In-Person,International,Night,Credit,1,4,0.5877796725540154,0
3114,In-Person,International,Morning,Debit,0,7,0.23945587853228725,0
2745,In-Person,Domestic,Afternoon,Debit,1,8,0.9985222117262212,0
4565,In-Person,International,Afternoon,Credit,0,5,0.9029256284458071,0
964,Online,Domestic,Night,Credit,0,2,0.48803702235552704,0
4575,In-Person,International,Night,Debit,0,8,0.5772934987791726,0
3456,Online,International,Afternoon,Debit,1,5,0.4541958551383031,0
1055,Online,International,Afternoon,Credit,0,5,0.6741803580878696,0
1703,In-Person,Domestic,Morning,Debit,1,7,0.7580260357780145,0
3446,In-Person,International,Night,Debit,1,6,0.3084068788984941,0
572,Online,Domestic,Morning,Credit,0,3,0.4895168801610673,0
2495,In-Person,International,Afternoon,Debit,0,7,0.6762113080679844,0
3364,In-Person,International,Afternoon,Credit,1,1,0.9892177485267699,0
235,Online,Domestic,Afternoon,Debit,1,4,0.39238672222037985,0
4903,Online,Domestic,Afternoon,Credit,0,4,0.7705004021731304,0
969,In-Person,International,Morning,Debit,1,6,0.412004587192923,0
4558,In-Person,International,Afternoon,Debit,0,6,0.1831057777327228,0
3077,In-Person,Domestic,Night,Credit,0,8,0.7931312380247328,0
825,Online,International,Afternoon,Debit,0,1,0.684376194677989,0
4764,In-Person,Domestic,Night,Debit,1,7,0.5629057439705236,0
4652,Online,International,Afternoon,Credit,1,4,0.707532299944112,0
3130,Online,Domestic,Morning,Debit,1,6,0.8913700485631216,0
26,In-Person,Domestic,Night,Debit,1,9,0.7808595409009698,0
1253,Online,Domestic,Morning,Credit,0,3,0.8720356806335683,0
2215,In-Person,Domestic,Afternoon,Credit,1,8,0.3610169528372068,0
2534,In-Person,Domestic,Morning,Credit,0,3,0.8204351655656771,0
1079,Online,International,Afternoon,Credit,0,6,0.42400841241980003,0
3454,In-Person,International,Morning,Credit,1,2,0.11858667075453458,1
2575,Online,International,Morning,Credit,1,9,0.1388658128112995,0
1070,Online,International,Night,Credit,1,2,0.7573191064346417,0
2337,In-Person,International,Afternoon,Credit,0,5,0.34471837417554807,0
3430,In-Person,International,Morning,Debit,1,6,0.3768258281950174,0
311,In-Person,International,Afternoon,Debit,0,4,0.6603202415219921,0
4286,In-Person,International,Night,Credit,0,7,0.7673583339233682,0
616,Online,International,Morning,Debit,1,7,0.6029958260202483,0
3180,Online,Domestic,Afternoon,Credit,1,7,0.7357350172013923,0
709,Online,Domestic,Morning,Debit,1,7,0.9469475528602769,0
1149,In-Person,International,Morning,Debit,0,9,0.8687439506084479,0
200,Online,Domestic,Morning,Credit,0,2,0.31672328604748373,0
2310,Online,International,Morning,Debit,1,5,0.9161124829627628,0
990,In-Person,Domestic,Night,Debit,1,9,0.3675378297236911,0
2985,In-Person,Domestic,Night,Debit,0,2,0.6945294331731819,0
1194,In-Person,Domestic,Afternoon,Credit,1,3,0.8872446911703353,0
3337,Online,International,Afternoon,Debit,1,7,0.6611015145409191,0
3404,In-Person,International,Morning,Debit,0,9,0.8255765224982843,0
137,Online,International,Morning,Credit,0,3,0.9346123979926965,0
2075,Online,International,Morning,Debit,1,8,0.9702433586005884,0
1826,Online,Domestic,Night,Debit,0,8,0.469569637144014,1
579,Online,International,Morning,Debit,1,4,0.9934913859350746,0
1905,Online,Domestic,Afternoon,Debit,0,6,0.3445130474061525,0
2743,In-Person,International,Morning,Credit,0,8,0.5159679195515872,0
3873,Online,Domestic,Night,Credit,0,9,0.784635003589128,0
4731,In-Person,Domestic,Morning,Credit,0,2,0.9731382111293648,0
4024,Online,Domestic,Night,Debit,1,1,0.14764722512040612,0
2911,Online,Domestic,Night,Credit,0,5,0.9510775270348416,0
1696,In-Person,International,Night,Debit,1,3,0.9988079478037925,0
3019,Online,International,Night,Debit,0,6,0.918621497111943,0
164,Online,Domestic,Afternoon,Credit,1,1,0.19754579385503857,0
2547,In-Person,International,Night,Credit,0,4,0.856630232725473,0
1419,In-Person,International,Afternoon,Credit,0,6,0.6757856232715886,0
4067,Online,Domestic,Afternoon,Debit,1,2,0.10857388542007806,0
794,Online,International,Morning,Debit,0,8,0.9859385903198948,0
3185,Online,International,Morning,Debit,1,4,0.23547135099989566,0
4351,In-Person,International,Night,Debit,1,2,0.45713925723072635,0
2816,Online,Domestic,Morning,Credit,0,1,0.127245253634419,0
547,In-Person,International,Night,Credit,0,8,0.37856720334590976,0
1851,In-Person,Domestic,Morning,Debit,1,1,0.6114931509936608,0
2465,Online,Domestic,Night,Debit,0,7,0.9377678101852042,0
534,In-Person,Domestic,Morning,Credit,0,7,0.9913280735562919,0
2960,Online,International,Morning,Credit,1,6,0.48102244756061396,0
4141,Online,International,Afternoon,Debit,0,8,0.48536549823359043,0
4790,In-Person,International,Morning,Credit,0,1,0.24430908861745393,0
4125,In-Person,Domestic,Morning,Debit,0,1,0.5485230069945058,0
2378,In-Person,International,Night,Debit,0,1,0.9460729141850575,0
3857,In-Person,Domestic,Afternoon,Debit,0,6,0.24885654169734295,0
4505,In-Person,International,Night,Debit,1,7,0.3398259187860012,0
2711,In-Person,Domestic,Morning,Credit,0,9,0.9021860863468523,0
981,Online,International,Night,Credit,0,5,0.6637875524445539,0
1176,Online,International,Afternoon,Debit,1,1,0.3974565141630775,0
4939,Online,International,Night,Debit,0,9,0.8314704686476282,0
2784,In-Person,Domestic,Morning,Debit,1,5,0.198067727531899,0
1992,In-Person,Domestic,Night,Debit,1,6,0.8725162292483511,0
863,In-Person,International,Morning,Debit,0,9,0.5662014993890285,0
4156,Online,Domestic,Afternoon,Credit,0,2,0.781240987356056,0
3746,Online,Domestic,Afternoon,Debit,1,3,0.5665524324095126,0
3779,In-Person,Domestic,Night,Credit,0,7,0.32164562970907606,0
584,In-Person,International,Afternoon,Debit,1,3,0.6767637605058499,0
3271,In-Person,International,Night,Debit,0,2,0.23931202240611188,0
1158,In-Person,International,Morning,Debit,0,7,0.30688339109335844,0
1725,Online,Domestic,Night,Debit,1,8,0.5943931021108203,0
4787,Online,International,Morning,Credit,1,9,0.4509852231791974,0
4943,Online,Domestic,Afternoon,Credit,1,2,0.7706820567584967,0
3864,In-Person,Domestic,Morning,Credit,1,2,0.6252152297874564,0
2501,Online,International,Morning,Debit,1,7,0.44320161484802145,0
2670,In-Person,International,Morning,Credit,1,4,0.3940569413512435,0
3134,In-Person,International,Morning,Debit,1,5,0.9219185037711884,0
3061,In-Person,Domestic,Morning,Debit,1,1,0.13607439576458064,0
14,Online,Domestic,Night,Credit,1,6,0.7219279352656948,0
4879,Online,International,Morning,Debit,1,8,0.45270872100595017,0
886,In-Person,Domestic,Morning,Debit,0,1,0.4396219071070603,0
1001,Online,International,Morning,Credit,0,2,0.6866890959563027,0
4152,In-Person,International,Morning,Credit,1,7,0.8654182779194463,0
4374,In-Person,International,Morning,Debit,0,2,0.7519710207880621,0
4475,In-Person,International,Morning,Credit,1,9,0.7031001414205194,0
645,Online,International,Afternoon,Credit,0,6,0.5465822050372571,0
1703,Online,International,Night,Credit,0,5,0.52226061752197,0
1692,In-Person,Domestic,Morning,Debit,0,7,0.5146437479381887,0
4762,Online,Domestic,Night,Debit,0,8,0.2309027169561686,0
129,Online,International,Afternoon,Credit,0,9,0.6035526895347597,0
840,Online,International,Afternoon,Debit,1,6,0.3839178502630095,0
3685,Online,Domestic,Morning,Debit,0,5,0.6564051066028112,0
1379,In-Person,Domestic,Night,Credit,0,7,0.5809017228619544,0
750,Online,International,Morning,Credit,1,2,0.9459317758252729,0
126,In-Person,International,Afternoon,Credit,0,8,0.491437118851051,0
2848,In-Person,Domestic,Afternoon,Debit,0,4,0.6979574872113561,0
1160,Online,International,Night,Debit,0,1,0.6335223028209108,0
1941,In-Person,Domestic,Morning,Debit,0,3,0.7159552821136822,0
1022,In-Person,International,Night,Debit,0,9,0.3402773728955637,0
1674,Online,Domestic,Night,Credit,0,4,0.33152404997674156,0
1091,In-Person,International,Afternoon,Credit,0,3,0.603710160606168,0
4739,In-Person,International,Night,Credit,1,4,0.8641554232270162,0
522,Online,International,Afternoon,Credit,1,3,0.7480078153270238,0
2859,Online,Domestic,Morning,Credit,1,3,0.5400412297138922,0
569,Online,International,Night,Debit,0,2,0.3295849898787707,0
3682,Online,Domestic,Night,Credit,0,6,0.7834125034909187,0
4593,Online,Domestic,Morning,Debit,1,6,0.9336215778514055,0
3353,In-Person,Domestic,Night,Debit,1,4,0.2917182888863851,0
4080,In-Person,Domestic,Morning,Credit,1,8,0.8191843490914573,0
4809,Online,International,Afternoon,Debit,0,6,0.25520097563402055,0
1480,Online,International,Afternoon,Debit,1,8,0.9107046804490814,0
590,In-Person,International,Night,Credit,0,6,0.6778449044972256,0
2304,Online,Domestic,Afternoon,Debit,1,9,0.2629090038355435,0
3157,Online,International,Afternoon,Credit,1,3,0.13263357591725167,0
4259,In-Person,Domestic,Morning,Credit,0,3,0.725154664256566,0
1689,In-Person,Domestic,Afternoon,Debit,0,2,0.6454916416475619,0
3516,In-Person,Domestic,Afternoon,Debit,0,6,0.6501860348560653,0
2754,Online,International,Afternoon,Credit,0,7,0.5340357270817104,0
3366,In-Person,Domestic,Morning,Debit,0,7,0.652998829067872,0
4055,Online,International,Night,Credit,0,5,0.8859007832399562,0
1253,In-Person,International,Morning,Credit,1,6,0.9568014234285995,0
3128,Online,International,Night,Credit,0,7,0.41005716108818646,0
2151,Online,Domestic,Night,Credit,0,2,0.5390847713335036,0
3069,Online,International,Afternoon,Credit,0,7,0.34572508905551014,0
4558,In-Person,Domestic,Afternoon,Credit,1,1,0.47042681435227884,0
2969,In-Person,Domestic,Morning,Debit,1,6,0.816299698724212,0
2275,In-Person,Domestic,Morning,Credit,0,8,0.48249022457350066,0
2489,Online,Domestic,Morning,Debit,0,1,0.45247637127505025,0
4656,In-Person,International,Afternoon,Debit,0,1,0.865099993556053,0
1645,In-Person,International,Night,Debit,0,6,0.10114512552531546,0
1767,Online,International,Morning,Credit,0,5,0.8669692686300914,0
4462,Online,International,Night,Credit,0,3,0.2632671694707212,0
2080,In-Person,Domestic,Afternoon,Debit,1,7,0.34706077753837083,0
2859,In-Person,Domestic,Afternoon,Credit,0,7,0.42544816168086264,1
3261,In-Person,Domestic,Afternoon,Debit,0,7,0.892587007768159,0
3740,Online,Domestic,Afternoon,Credit,0,6,0.9178133867594392,0
2499,In-Person,International,Night,Credit,0,4,0.6950607015685047,0
1641,Online,International,Night,Credit,1,9,0.49549857810635156,0
